year,Single_Z1_to_Z4_Cash,Single_Z1_to_Z4_Oyster_Peak,Bus_Cash,Single_Bus_Oyster,Cap_Bus_Tram,Travelcard_Z1_to_Z4,Cap_Z1_to_Z4_PAYG,Travelcard_7_Day_Z1_to_Z4,Weekly_Bus_And_Tram_Pass
2000,2.60,,1.00,,,,,26.80,11.50
2001,2.70,,1.00,,,,,27.60,9.50
2002,2.70,,1.00,,,6.80,,28.10,8.50
2003,2.80,,1.00,,,7.00,,28.40,8.50
2004,3.00,2.80,1.00,0.70,,7.30,,29.20,9.50
2005,2.80,2.50,1.20,1.00,3.00,8.00,,30.40,11.00
2006,3.00,2.50,1.50,1.00,3.00,8.40,,31.60,13.50
2007,4.00,2.50,2.00,1.00,3.00,9.00,,33.20,14.00
2008,4.00,2.50,2.00,0.90,3.00,9.40,,34.60,13.00
2009,4.00,2.80,2.00,1.00,3.30,10.00,,36.80,13.80
2010,4.00,3.10,2.00,1.20,3.90,10.00,,36.80,16.60
2011,5.00,3.40,2.20,1.30,4.00,10.00,,39.40,17.80
2012,5.30,3.60,2.30,1.35,4.20,10.60,10.60,41.80,18.80
2013,5.50,3.80,2.40,1.40,4.40,11.00,10.60,43.60,19.60
2014,5.70,3.80,2.40,1.45,4.40,11.40,10.60,45.00,20.20
2015,5.80,3.90,,1.50,4.40,12.00,9.20,46.10,21.00
2016,5.90,3.90,,1.50,4.50,12.10,9.30,46.50,21.20
2017,5.9,3.9,,1.5,4.5,12.3,9.5,47.3,21.2
2018,5.9,3.9,,1.5,4.5,12.7,9.8,49,21.2
2019,5.9,3.9,,1.5,4.5,13.1,10.1,50.5,21.2
2020,5.9,3.9,,1.5,4.5,13.5,10.4,51.9,21.2
2021,6,4,,1.55,4.65,13.9,10.6,53.2,21.9
2022,6.3,4.3,,1.65,4.95,14.4,11,55.2,23.3
2023,6.7,4.4,,1.75,5.25,15.2,11.7,58.5,24.7
2024,6.7,4.4,,1.75,5.25,15.9,12.3,61.4,24.7
2025,7,4.6,,1.75,5.25,16.6,12.8,64.2,24.7
