"Title","RPI: fares & other travel costs: bus & coach fares (Jan 1987=100)"
"CDID","DOCX"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","19-02-2025"
"Next release","26 March 2025"
"year","relative_price"
"1987","103.4"
"1988","110.6"
"1989","119.3"
"1990","125.9"
"1991","143.6"
"1992","153.7"
"1993","160.4"
"1994","164.6"
"1995","170.7"
"1996","177.1"
"1997","183.4"
"1998","189.4"
"1999","196.3"
"2000","204.2"
"2001","212.8"
"2002","219.3"
"2003","228.5"
"2004","240.2"
"2005","256.1"
"2006","259.7"
"2007","274.5"
"2008","291.5"
"2009","309.1"
"2010","322.9"
"2011","344.4"
"2012","363.1"
"2013","372.4"
"2014","378.9"
"2015","391.4"
"2016","406.6"
"2017","464.5"
"2018","486.5"
"2019","498.5"
"2020","534.1"
"2021","580.1"
"2022","599.9"
"2023","595.7"
"2024","622.5"
"1987 Q1","100.0"
"1987 Q2","102.5"
"1987 Q3","104.9"
"1987 Q4","106.2"
"1988 Q1","107.7"
"1988 Q2","109.2"
"1988 Q3","112.1"
"1988 Q4","113.6"
"1989 Q1","115.7"
"1989 Q2","118.7"
"1989 Q3","120.7"
"1989 Q4","122.1"
"1990 Q1","124.1"
"1990 Q2","125.4"
"1990 Q3","126.4"
"1990 Q4","127.8"
"1991 Q1","136.7"
"1991 Q2","143.3"
"1991 Q3","145.9"
"1991 Q4","148.3"
"1992 Q1","150.3"
"1992 Q2","153.9"
"1992 Q3","154.6"
"1992 Q4","155.8"
"1993 Q1","158.2"
"1993 Q2","161.4"
"1993 Q3","162.0"
"1993 Q4","160.1"
"1994 Q1","162.1"
"1994 Q2","164.1"
"1994 Q3","165.9"
"1994 Q4","166.4"
"1995 Q1","169.0"
"1995 Q2","170.3"
"1995 Q3","171.2"
"1995 Q4","172.1"
"1996 Q1","174.8"
"1996 Q2","176.6"
"1996 Q3","178.0"
"1996 Q4","178.9"
"1997 Q1","180.8"
"1997 Q2","182.8"
"1997 Q3","184.3"
"1997 Q4","185.5"
"1998 Q1","186.4"
"1998 Q2","189.6"
"1998 Q3","191.1"
"1998 Q4","190.4"
"1999 Q1","192.3"
"1999 Q2","195.4"
"1999 Q3","198.2"
"1999 Q4","199.3"
"2000 Q1","200.1"
"2000 Q2","203.1"
"2000 Q3","206.5"
"2000 Q4","207.2"
"2001 Q1","209.5"
"2001 Q2","214.2"
"2001 Q3","212.5"
"2001 Q4","214.7"
"2002 Q1","215.8"
"2002 Q2","218.8"
"2002 Q3","220.1"
"2002 Q4","222.6"
"2003 Q1","223.7"
"2003 Q2","228.9"
"2003 Q3","229.6"
"2003 Q4","231.9"
"2004 Q1","237.0"
"2004 Q2","240.0"
"2004 Q3","240.7"
"2004 Q4","243.2"
"2005 Q1","251.5"
"2005 Q2","255.5"
"2005 Q3","257.9"
"2005 Q4","259.4"
"2006 Q1","268.0"
"2006 Q2","254.6"
"2006 Q3","255.4"
"2006 Q4","261.0"
"2007 Q1","271.1"
"2007 Q2","274.3"
"2007 Q3","276.9"
"2007 Q4","275.6"
"2008 Q1","284.3"
"2008 Q2","287.9"
"2008 Q3","293.4"
"2008 Q4","300.3"
"2009 Q1","306.7"
"2009 Q2","307.9"
"2009 Q3","309.7"
"2009 Q4","312.0"
"2010 Q1","318.6"
"2010 Q2","319.5"
"2010 Q3","324.2"
"2010 Q4","329.3"
"2011 Q1","334.7"
"2011 Q2","343.8"
"2011 Q3","346.7"
"2011 Q4","352.5"
"2012 Q1","360.9"
"2012 Q2","364.7"
"2012 Q3","363.4"
"2012 Q4","363.5"
"2013 Q1","366.0"
"2013 Q2","370.0"
"2013 Q3","377.7"
"2013 Q4","375.9"
