"Title","RPI: fares & other travel costs: rail fares (Jan 1987=100)"
"CDID","DOCW"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","19-02-2025"
"Next release","26 March 2025"
"year","relative_rail_fares"
"1987","100.6"
"1988","107.6"
"1989","117.4"
"1990","127.7"
"1991","141.0"
"1992","151.3"
"1993","161.9"
"1994","169.1"
"1995","176.6"
"1996","183.2"
"1997","187.5"
"1998","195.2"
"1999","202.3"
"2000","205.8"
"2001","213.7"
"2002","218.6"
"2003","222.3"
"2004","230.8"
"2005","240.1"
"2006","249.7"
"2007","262.5"
"2008","273.9"
"2009","288.5"
"2010","311.6"
"2011","333.8"
"2012","349.8"
"2013","364.5"
"2014","376.7"
"2015","384.6"
"2016","385.6"
"2017","396.4"
"2018","408.6"
"2019","425.1"
"2020","434.6"
"2021","446.4"
"2022","471.0"
"2023","494.0"
"2024","512.8"
"1987 Q1","100.0"
"1987 Q2","100.1"
"1987 Q3","101.1"
"1987 Q4","101.1"
"1988 Q1","107.1"
"1988 Q2","107.6"
"1988 Q3","107.8"
"1988 Q4","107.8"
"1989 Q1","117.4"
"1989 Q2","117.4"
"1989 Q3","117.4"
"1989 Q4","117.4"
"1990 Q1","124.7"
"1990 Q2","128.2"
"1990 Q3","128.2"
"1990 Q4","129.7"
"1991 Q1","140.3"
"1991 Q2","140.9"
"1991 Q3","141.2"
"1991 Q4","141.7"
"1992 Q1","150.7"
"1992 Q2","151.1"
"1992 Q3","151.2"
"1992 Q4","152.2"
"1993 Q1","161.6"
"1993 Q2","161.8"
"1993 Q3","161.9"
"1993 Q4","162.2"
"1994 Q1","168.5"
"1994 Q2","168.8"
"1994 Q3","169.5"
"1994 Q4","169.7"
"1995 Q1","175.3"
"1995 Q2","177.0"
"1995 Q3","177.0"
"1995 Q4","177.1"
"1996 Q1","183.0"
"1996 Q2","183.1"
"1996 Q3","183.1"
"1996 Q4","183.6"
"1997 Q1","186.8"
"1997 Q2","187.7"
"1997 Q3","187.7"
"1997 Q4","187.7"
"1998 Q1","194.2"
"1998 Q2","194.8"
"1998 Q3","196.0"
"1998 Q4","195.7"
"1999 Q1","201.3"
"1999 Q2","202.5"
"1999 Q3","202.7"
"1999 Q4","202.8"
"2000 Q1","205.5"
"2000 Q2","205.7"
"2000 Q3","206.2"
"2000 Q4","205.6"
"2001 Q1","212.0"
"2001 Q2","213.7"
"2001 Q3","214.4"
"2001 Q4","214.8"
"2002 Q1","217.5"
"2002 Q2","218.7"
"2002 Q3","219.2"
"2002 Q4","218.8"
"2003 Q1","220.7"
"2003 Q2","223.4"
"2003 Q3","223.9"
"2003 Q4","221.4"
"2004 Q1","226.8"
"2004 Q2","231.8"
"2004 Q3","232.7"
"2004 Q4","232.1"
"2005 Q1","240.4"
"2005 Q2","239.5"
"2005 Q3","239.9"
"2005 Q4","240.7"
"2006 Q1","247.0"
"2006 Q2","251.3"
"2006 Q3","251.3"
"2006 Q4","249.3"
"2007 Q1","260.0"
"2007 Q2","262.5"
"2007 Q3","264.5"
"2007 Q4","263.3"
"2008 Q1","272.9"
"2008 Q2","274.7"
"2008 Q3","274.3"
"2008 Q4","273.6"
"2009 Q1","288.1"
"2009 Q2","287.8"
"2009 Q3","289.8"
"2009 Q4","288.3"
"2010 Q1","310.2"
"2010 Q2","312.6"
"2010 Q3","313.2"
"2010 Q4","310.5"
"2011 Q1","330.6"
"2011 Q2","335.6"
"2011 Q3","337.5"
"2011 Q4","331.3"
"2012 Q1","348.7"
"2012 Q2","350.0"
"2012 Q3","351.4"
"2012 Q4","349.1"
"2013 Q1","362.4"
"2013 Q2","365.9"
"2013 Q3","366.3"
"2013 Q4","363.4"
"2014 Q1","372.8"
"2014 Q2","377.8"
"2014 Q3","377.8"
"2014 Q4","378.5"
"2015 Q1","384.2"
"2015 Q2","384.8"
"2015 Q3","386.5"
"2015 Q4","383.1"
"2016 Q1","387.0"
"2016 Q2","384.1"
"2016 Q3","386.3"
"2016 Q4","385.2"
"2017 Q1","394.1"
"2017 Q2","399.7"
"2017 Q3","396.6"
"2017 Q4","395.3"
"2018 Q1","406.0"
"2018 Q2","406.9"
"2018 Q3","413.5"
"2018 Q4","408.0"
"2019 Q1","423.5"
"2019 Q2","428.2"
"2019 Q3","426.2"
"2019 Q4","422.6"
"2020 Q1","434.6"
"2020 Q2","438.4"
"2020 Q3","433.3"
"2020 Q4","432.3"
"2021 Q1","439.5"
"2021 Q2","452.0"
"2021 Q3","445.2"
"2021 Q4","448.9"
"2022 Q1","456.7"
"2022 Q2","471.3"
"2022 Q3","480.4"
"2022 Q4","475.6"
"2023 Q1","478.3"
"2023 Q2","496.8"
"2023 Q3","503.5"
"2023 Q4","497.4"
"2024 Q1","497.1"
"2024 Q2","516.7"
"2024 Q3","516.4"
"2024 Q4","520.8"
"1987 JAN","100.0"
"1987 FEB","100.0"
"1987 MAR","100.1"
"1987 APR","100.1"
"1987 MAY","100.1"
"1987 JUN","100.1"
"1987 JUL","101.1"
"1987 AUG","101.1"
"1987 SEP","101.1"
"1987 OCT","101.1"
"1987 NOV","101.1"
"1987 DEC","101.1"
"1988 JAN","107.1"
"1988 FEB","107.1"
"1988 MAR","107.1"
"1988 APR","107.1"
"1988 MAY","107.8"
"1988 JUN","107.8"
"1988 JUL","107.8"
"1988 AUG","107.8"
"1988 SEP","107.8"
"1988 OCT","107.8"
"1988 NOV","107.8"
"1988 DEC","107.8"
"1989 JAN","117.4"
"1989 FEB","117.4"
"1989 MAR","117.4"
"1989 APR","117.4"
"1989 MAY","117.4"
"1989 JUN","117.4"
"1989 JUL","117.4"
"1989 AUG","117.4"
"1989 SEP","117.4"
"1989 OCT","117.4"
"1989 NOV","117.4"
"1989 DEC","117.4"
"1990 JAN","117.4"
"1990 FEB","128.3"
"1990 MAR","128.3"
"1990 APR","128.3"
"1990 MAY","128.2"
"1990 JUN","128.2"
"1990 JUL","128.2"
"1990 AUG","128.2"
"1990 SEP","128.2"
"1990 OCT","129.7"
"1990 NOV","129.7"
"1990 DEC","129.7"
"1991 JAN","140.3"
"1991 FEB","140.3"
"1991 MAR","140.3"
"1991 APR","140.3"
"1991 MAY","141.2"
"1991 JUN","141.2"
"1991 JUL","141.2"
"1991 AUG","141.2"
"1991 SEP","141.2"
"1991 OCT","141.7"
"1991 NOV","141.7"
"1991 DEC","141.8"
"1992 JAN","150.7"
"1992 FEB","150.7"
"1992 MAR","150.7"
"1992 APR","150.8"
"1992 MAY","151.3"
"1992 JUN","151.2"
"1992 JUL","151.2"
"1992 AUG","151.2"
"1992 SEP","151.2"
"1992 OCT","152.2"
"1992 NOV","152.2"
"1992 DEC","152.2"
"1993 JAN","161.6"
"1993 FEB","161.6"
"1993 MAR","161.6"
"1993 APR","161.6"
"1993 MAY","161.9"
"1993 JUN","161.9"
"1993 JUL","161.9"
"1993 AUG","161.9"
"1993 SEP","161.9"
"1993 OCT","162.2"
"1993 NOV","162.2"
"1993 DEC","162.2"
"1994 JAN","168.5"
"1994 FEB","168.5"
"1994 MAR","168.5"
"1994 APR","168.5"
"1994 MAY","168.5"
"1994 JUN","169.3"
"1994 JUL","169.5"
"1994 AUG","169.5"
"1994 SEP","169.5"
"1994 OCT","169.7"
"1994 NOV","169.7"
"1994 DEC","169.7"
"1995 JAN","171.8"
"1995 FEB","177.0"
"1995 MAR","177.0"
"1995 APR","177.0"
"1995 MAY","177.0"
"1995 JUN","177.0"
"1995 JUL","177.0"
"1995 AUG","177.0"
"1995 SEP","177.1"
"1995 OCT","177.1"
"1995 NOV","177.1"
"1995 DEC","177.1"
"1996 JAN","183.0"
"1996 FEB","183.0"
"1996 MAR","183.0"
"1996 APR","183.1"
"1996 MAY","183.1"
"1996 JUN","183.1"
"1996 JUL","183.1"
"1996 AUG","183.1"
"1996 SEP","183.1"
"1996 OCT","183.6"
"1996 NOV","183.6"
"1996 DEC","183.6"
"1997 JAN","185.5"
"1997 FEB","187.5"
"1997 MAR","187.5"
"1997 APR","187.7"
"1997 MAY","187.7"
"1997 JUN","187.7"
"1997 JUL","187.7"
"1997 AUG","187.7"
"1997 SEP","187.7"
"1997 OCT","187.7"
"1997 NOV","187.7"
"1997 DEC","187.7"
"1998 JAN","194.2"
"1998 FEB","194.2"
"1998 MAR","194.2"
"1998 APR","194.4"
"1998 MAY","194.5"
"1998 JUN","195.5"
"1998 JUL","196.2"
"1998 AUG","196.2"
"1998 SEP","195.5"
"1998 OCT","195.7"
"1998 NOV","195.7"
"1998 DEC","195.7"
"1999 JAN","200.9"
"1999 FEB","201.7"
"1999 MAR","201.3"
"1999 APR","202.4"
"1999 MAY","202.4"
"1999 JUN","202.6"
"1999 JUL","202.7"
"1999 AUG","202.7"
"1999 SEP","202.7"
"1999 OCT","202.7"
"1999 NOV","202.7"
"1999 DEC","203.1"
"2000 JAN","205.5"
"2000 FEB","205.5"
"2000 MAR","205.5"
"2000 APR","205.7"
"2000 MAY","205.8"
"2000 JUN","205.6"
"2000 JUL","206.3"
"2000 AUG","206.1"
"2000 SEP","206.2"
"2000 OCT","205.4"
"2000 NOV","205.6"
"2000 DEC","205.9"
"2001 JAN","212.0"
"2001 FEB","212.0"
"2001 MAR","212.0"
"2001 APR","213.6"
"2001 MAY","213.7"
"2001 JUN","213.7"
"2001 JUL","213.5"
"2001 AUG","214.8"
"2001 SEP","214.8"
"2001 OCT","214.8"
"2001 NOV","214.8"
"2001 DEC","214.8"
"2002 JAN","217.5"
"2002 FEB","217.6"
"2002 MAR","217.5"
"2002 APR","218.3"
"2002 MAY","218.6"
"2002 JUN","219.3"
"2002 JUL","219.3"
"2002 AUG","219.5"
"2002 SEP","218.8"
"2002 OCT","218.8"
"2002 NOV","218.8"
"2002 DEC","218.8"
"2003 JAN","221.0"
"2003 FEB","221.1"
"2003 MAR","219.9"
"2003 APR","221.1"
"2003 MAY","225.2"
"2003 JUN","223.8"
"2003 JUL","224.9"
"2003 AUG","224.1"
"2003 SEP","222.6"
"2003 OCT","222.4"
"2003 NOV","221.4"
"2003 DEC","220.5"
"2004 JAN","225.5"
"2004 FEB","228.1"
"2004 MAR","226.8"
"2004 APR","231.4"
"2004 MAY","230.8"
"2004 JUN","233.1"
"2004 JUL","233.4"
"2004 AUG","232.4"
"2004 SEP","232.3"
"2004 OCT","230.5"
"2004 NOV","232.9"
"2004 DEC","233.0"
"2005 JAN","242.0"
"2005 FEB","242.0"
"2005 MAR","237.2"
"2005 APR","239.8"
"2005 MAY","237.9"
"2005 JUN","240.9"
"2005 JUL","240.1"
"2005 AUG","240.5"
"2005 SEP","239.1"
"2005 OCT","240.1"
"2005 NOV","241.4"
"2005 DEC","240.7"
"2006 JAN","245.1"
"2006 FEB","248.0"
"2006 MAR","247.9"
"2006 APR","252.0"
"2006 MAY","251.3"
"2006 JUN","250.5"
"2006 JUL","251.8"
"2006 AUG","254.1"
"2006 SEP","248.0"
"2006 OCT","247.6"
"2006 NOV","250.9"
"2006 DEC","249.4"
"2007 JAN","257.4"
"2007 FEB","261.9"
"2007 MAR","260.6"
"2007 APR","262.6"
"2007 MAY","262.1"
"2007 JUN","262.7"
"2007 JUL","263.6"
"2007 AUG","265.0"
"2007 SEP","264.8"
"2007 OCT","263.3"
"2007 NOV","263.3"
"2007 DEC","263.2"
"2008 JAN","272.0"
"2008 FEB","273.5"
"2008 MAR","273.1"
"2008 APR","275.5"
"2008 MAY","274.9"
"2008 JUN","273.7"
"2008 JUL","275.0"
"2008 AUG","275.1"
"2008 SEP","272.9"
"2008 OCT","273.6"
"2008 NOV","273.2"
"2008 DEC","274.1"
"2009 JAN","287.0"
"2009 FEB","288.9"
"2009 MAR","288.3"
"2009 APR","289.0"
"2009 MAY","288.6"
"2009 JUN","285.8"
"2009 JUL","291.4"
"2009 AUG","290.3"
"2009 SEP","287.6"
"2009 OCT","287.6"
"2009 NOV","287.8"
"2009 DEC","289.6"
"2010 JAN","307.1"
"2010 FEB","312.0"
"2010 MAR","311.5"
"2010 APR","311.3"
"2010 MAY","313.7"
"2010 JUN","312.9"
"2010 JUL","312.6"
"2010 AUG","314.2"
"2010 SEP","312.9"
"2010 OCT","310.9"
"2010 NOV","310.0"
"2010 DEC","310.7"
"2011 JAN","328.7"
"2011 FEB","330.6"
"2011 MAR","332.6"
"2011 APR","336.4"
"2011 MAY","334.6"
"2011 JUN","335.9"
"2011 JUL","342.9"
"2011 AUG","334.9"
"2011 SEP","334.7"
"2011 OCT","332.6"
"2011 NOV","329.0"
"2011 DEC","332.4"
"2012 JAN","346.3"
"2012 FEB","350.9"
"2012 MAR","348.9"
"2012 APR","351.2"
"2012 MAY","349.1"
"2012 JUN","349.7"
"2012 JUL","351.8"
"2012 AUG","351.7"
"2012 SEP","350.7"
"2012 OCT","348.8"
"2012 NOV","349.2"
"2012 DEC","349.2"
"2013 JAN","359.7"
"2013 FEB","362.9"
"2013 MAR","364.6"
"2013 APR","365.1"
"2013 MAY","365.6"
"2013 JUN","367.0"
"2013 JUL","369.2"
"2013 AUG","364.3"
"2013 SEP","365.4"
"2013 OCT","362.8"
"2013 NOV","363.7"
"2013 DEC","363.8"
"2014 JAN","369.1"
"2014 FEB","375.7"
"2014 MAR","373.6"
"2014 APR","378.9"
"2014 MAY","376.0"
"2014 JUN","378.5"
"2014 JUL","379.4"
"2014 AUG","376.8"
"2014 SEP","377.1"
"2014 OCT","377.5"
"2014 NOV","380.1"
"2014 DEC","378.0"
"2015 JAN","381.7"
"2015 FEB","386.9"
"2015 MAR","384.1"
"2015 APR","386.9"
"2015 MAY","383.4"
"2015 JUN","384.1"
"2015 JUL","389.2"
"2015 AUG","386.2"
"2015 SEP","384.1"
"2015 OCT","383.2"
"2015 NOV","383.0"
"2015 DEC","383.0"
"2016 JAN","384.5"
"2016 FEB","386.5"
"2016 MAR","390.1"
"2016 APR","387.1"
"2016 MAY","385.9"
"2016 JUN","379.2"
"2016 JUL","388.1"
"2016 AUG","385.3"
"2016 SEP","385.6"
"2016 OCT","383.9"
"2016 NOV","384.4"
"2016 DEC","387.2"
"2017 JAN","393.2"
"2017 FEB","394.2"
"2017 MAR","394.8"
"2017 APR","402.5"
"2017 MAY","402.1"
"2017 JUN","394.6"
"2017 JUL","399.2"
"2017 AUG","395.8"
"2017 SEP","394.7"
"2017 OCT","395.7"
"2017 NOV","395.5"
"2017 DEC","394.6"
"2018 JAN","404.5"
"2018 FEB","406.3"
"2018 MAR","407.2"
"2018 APR","406.7"
"2018 MAY","409.3"
"2018 JUN","404.6"
"2018 JUL","416.9"
"2018 AUG","411.7"
"2018 SEP","412.0"
"2018 OCT","406.1"
"2018 NOV","409.3"
"2018 DEC","408.5"
"2019 JAN","421.7"
"2019 FEB","424.9"
"2019 MAR","423.9"
"2019 APR","433.7"
"2019 MAY","422.5"
"2019 JUN","428.5"
"2019 JUL","428.5"
"2019 AUG","426.2"
"2019 SEP","423.8"
"2019 OCT","422.7"
"2019 NOV","420.4"
"2019 DEC","424.6"
"2020 JAN","430.2"
"2020 FEB","438.8"
"2020 MAR","434.7"
"2020 APR","444.5"
"2020 MAY","432.1"
"2020 JUN","438.7"
"2020 JUL","433.6"
"2020 AUG","432.7"
"2020 SEP","433.6"
"2020 OCT","432.5"
"2020 NOV","429.8"
"2020 DEC","434.5"
"2021 JAN","430.5"
"2021 FEB","441.2"
"2021 MAR","446.7"
"2021 APR","459.5"
"2021 MAY","443.9"
"2021 JUN","452.5"
"2021 JUL","446.0"
"2021 AUG","447.7"
"2021 SEP","442.0"
"2021 OCT","445.7"
"2021 NOV","449.7"
"2021 DEC","451.3"
"2022 JAN","444.7"
"2022 FEB","454.4"
"2022 MAR","471.0"
"2022 APR","477.5"
"2022 MAY","464.9"
"2022 JUN","471.6"
"2022 JUL","482.6"
"2022 AUG","482.8"
"2022 SEP","475.8"
"2022 OCT","475.8"
"2022 NOV","472.3"
"2022 DEC","478.7"
"2023 JAN","467.7"
"2023 FEB","475.1"
"2023 MAR","492.2"
"2023 APR","497.9"
"2023 MAY","493.6"
"2023 JUN","498.8"
"2023 JUL","504.0"
"2023 AUG","504.7"
"2023 SEP","501.7"
"2023 OCT","503.5"
"2023 NOV","493.1"
"2023 DEC","495.5"
"2024 JAN","488.6"
"2024 FEB","496.1"
"2024 MAR","506.5"
"2024 APR","517.7"
"2024 MAY","519.2"
"2024 JUN","513.1"
"2024 JUL","519.7"
"2024 AUG","514.6"
"2024 SEP","515.0"
"2024 OCT","523.4"
"2024 NOV","519.5"
"2024 DEC","519.6"
"2025 JAN","512.7"
