year,date,open,high,low,close
1987,1987-12-30,1000.0,1000.0,1000.0,1000.0
1988,1988-12-29,1340.41,1340.41,1340.41,1340.41
1989,1989-12-28,1790.37,1790.37,1790.37,1790.37
1990,1990-12-28,1968.55,1968.55,1968.55,1968.55
1991,1991-12-30,1715.8,1715.8,1715.8,1715.8
1992,1992-12-30,1811.57,1811.57,1811.57,1811.57
1993,1993-12-30,2266.68,2266.68,2266.68,2266.68
1994,1994-12-30,2271.11,2271.11,2271.11,2271.11
1995,1995-12-29,2394.15,2394.15,2394.15,2394.15
1996,1996-12-30,2909.91,2909.91,2909.91,2909.91
1997,1997-12-30,4438.93,4438.93,4438.93,4438.93
1998,1998-12-30,6171.43,6171.43,6171.43,6171.43
1999,1999-12-30,6858.4,6958.14,6958.14,6958.14
2000,2000-12-29,8069.98,8064.97,8064.97,8064.97
2001,2001-12-28,6788.57,6795.14,6795.14,6795.14
2002,2002-12-30,5453.95,5462.55,5462.55,5462.55
2003,2003-12-30,3957.93,3965.16,3965.16,3965.16
2004,2004-12-30,4270.56,4261.79,4261.79,4261.79
2005,2005-12-30,5464.0,5469.96,5447.13,5458.58
2006,2006-12-29,6617.85,6629.33,6600.89,6611.81
2007,2007-12-28,8101.89,8151.57,8074.97,8105.69
2008,2008-12-30,8045.97,8100.64,7925.11,7949.11
2009,2009-12-30,6010.92,6026.69,6001.22,6011.55
2010,2010-12-30,7083.08,7087.84,7067.71,7077.99
2011,2011-12-30,7570.86,7600.41,7527.64,7527.64
2012,2012-12-28,7675.33,7682.9,7655.71,7672.1
2013,2013-12-30,9586.53,9594.35,9552.16,9589.39
2014,2014-12-30,10060.91,10093.03,10014.99,10087.12
2015,2015-12-30,12357.27,12390.75,12326.71,12374.73
2016,2016-12-30,11477.23,11481.66,11459.4,11481.06
2017,2017-12-29,13517.98,13525.56,13441.66,13478.86
2018,2018-12-28,13577.14,13596.89,13517.81,13559.6
2019,2019-12-30,13391.27,13425.85,13338.38,13407.66
2020,2020-12-30,13873.35,13903.11,13754.04,13790.29
2021,2021-12-30,16269.22,16290.19,16240.51,16251.13
2022,2022-12-30,16177.44,16285.35,16161.72,16271.75
2023,2023-12-29,16948.79,17003.28,16760.12,16794.43
2024,2024-12-30,20461.85,20522.82,20388.03,20426.27
2025,2025-09-05,24638.58,24639.1,24450.97,24549.56
