year,date,open,high,low,close
1985,1985-12-31,1412.6,1413.6,1413.6,1412.6
1986,1986-12-31,1717.6,1717.6,1717.6,1717.6
1987,1987-12-31,2443.4,2443.4,2443.4,2443.4
1988,1988-12-30,1879.3,1879.3,1879.3,1879.3
1989,1989-12-29,2426.0,2426.0,2426.0,2426.0
1990,1990-12-31,2463.7,2463.7,2463.7,2463.7
1991,1991-12-31,2679.6,2679.6,2679.6,2679.6
1992,1992-12-31,2847.8,2847.8,2847.8,2847.8
1993,1993-12-31,3462.0,3461.96,3461.96,3462.0
1994,1994-12-30,3520.3,3520.27,3520.27,3520.3
1995,1995-12-29,3689.3,3689.3,3689.3,3689.3
1996,1996-12-31,4118.5,4118.5,4118.5,4118.5
1997,1997-12-31,5330.8,5330.8,5330.8,5330.8
1998,1998-12-30,6179.0,6179.0,6179.0,6179.0
1999,1999-12-30,6930.2,6930.2,6930.2,6930.2
2000,2000-12-29,6798.06,6930.2,6783.0,6798.06
2001,2001-12-31,6334.53,6360.3,6300.2,6334.53
2002,2002-12-31,5323.76,5362.3,5313.9,5323.76
2003,2003-12-31,4476.87,4491.8,4470.7,4476.87
2004,2004-12-31,4820.09,4826.2,4813.5,4820.09
2005,2005-12-30,5638.32,5647.2,5622.8,5638.32
2006,2006-12-29,6260.02,6271.4,6240.1,6260.02
2007,2007-12-31,6732.4,6754.1,6706.1,6732.4
2008,2008-12-31,6479.44,6534.7,6402.6,6479.44
2009,2009-12-31,5437.61,5445.17,5403.97,5437.61
2010,2010-12-31,6008.92,6021.46,5982.16,6008.92
2011,2011-12-30,6091.32,6105.77,6066.71,6091.33
2012,2012-12-31,5965.6,5997.04,5950.07,5965.58
2013,2013-12-31,6839.96,6875.62,6781.45,6840.27
2014,2014-12-31,6878.49,6904.86,6866.25,6878.49
2015,2015-12-31,7103.98,7122.74,7058.34,7103.98
2016,2016-12-30,7120.26,7142.83,7087.54,7142.83
2017,2017-12-29,7622.88,7697.62,7620.01,7687.77
2018,2018-12-31,7877.45,7903.5,7854.58,7877.45
2019,2019-12-31,7686.61,7727.49,7643.65,7686.61
2020,2020-12-31,7674.56,7689.67,7639.62,7674.56
2021,2021-12-31,7420.69,7457.14,7403.01,7420.69
2022,2022-12-30,7672.4,7687.27,7622.74,7672.4
2023,2023-12-29,8014.31,8047.06,7995.46,8014.31
2024,2024-12-31,8445.8,8474.41,8427.92,8445.8
2025,2025-09-05,9321.4,9357.51,9285.64,9321.4
