year,date,open,high,low,close
1985,1985-12-31,1757.29,1757.29,1757.29,1757.29
1986,1986-12-31,2568.3,2568.3,2568.3,2568.3
1987,1987-12-31,3949.73,3949.73,3949.73,3949.73
1988,1988-12-30,2772.53,2772.53,2772.53,2772.53
1989,1989-12-29,3309.64,3309.64,3309.64,3309.64
1990,1990-12-31,3559.89,3559.89,3559.89,3559.89
1991,1991-12-31,4297.33,4297.33,4297.33,4297.33
1992,1992-12-31,6447.11,6447.11,6447.11,6447.11
1993,1993-12-31,11888.3,11888.3,11888.3,11888.3
1994,1994-12-30,12201.09,12201.09,12201.09,12201.09
1995,1995-12-29,10073.0,10073.0,10073.0,10073.0
1996,1996-12-31,13530.0,13530.0,13530.0,13530.0
1997,1997-12-31,16673.27,16673.27,16673.27,16673.27
1998,1998-12-31,11810.63,11810.63,11810.63,11810.63
1999,1999-12-30,16962.1,16962.1,16962.1,16962.1
2000,2000-12-29,18301.69,18301.69,18301.69,18301.69
2001,2001-12-31,16163.99,16163.99,16163.99,16163.99
2002,2002-12-31,11974.61,11974.61,11974.61,11974.61
2003,2003-12-31,12594.42,12594.42,12594.42,12594.42
2004,2004-12-31,14266.38,14266.38,14266.38,14266.38
2005,2005-12-30,15466.06,15508.57,15398.3,15466.06
2006,2006-12-29,20049.03,20049.03,19885.25,20001.91
2007,2007-12-31,31783.47,31958.41,31361.91,31638.22
2008,2008-12-31,27632.2,27853.6,27299.45,27615.85
2009,2009-12-31,23000.37,23099.57,22798.02,22943.98
2010,2010-12-31,24905.43,24988.57,24732.9,24964.37
2011,2011-12-30,24394.99,24468.64,24251.74,24419.62
2012,2012-12-31,22706.33,22718.83,22628.46,22666.59
2013,2013-12-31,23970.0,24111.55,23844.24,24038.55
2014,2014-12-31,25356.56,25362.98,25193.37,25317.95
2015,2015-12-31,28462.32,28588.52,28251.99,28442.75
2016,2016-12-30,24013.84,24364.0,23914.73,24099.7
2017,2017-12-29,30087.19,30199.69,29911.07,30003.49
2018,2018-12-31,33335.48,33484.08,32897.04,33154.12
2019,2019-12-31,30160.69,30280.12,30018.98,30157.49
2020,2020-12-31,29169.12,29174.92,28813.13,29056.42
2021,2021-12-31,31183.36,31183.36,30570.55,31084.94
2022,2022-12-30,25050.59,25050.59,24732.65,24965.55
2023,2023-12-29,22614.92,22700.85,22483.78,22688.9
2024,2024-12-31,22948.35,23241.74,22719.91,23099.78
2025,2025-09-08,25766.62,25918.86,25590.62,25829.91
