year,date,open,high,low,close
1980,1980-12-31,7188.28,7188.28,7188.28,7188.28
1981,1981-12-31,8019.14,8019.14,8019.14,8019.14
1982,1982-12-31,8026.99,8026.99,8026.99,8026.99
1983,1983-12-30,9893.82,9893.82,9893.82,9893.82
1984,1984-12-31,11577.44,11577.44,11577.44,11577.44
1985,1985-12-27,13128.94,13128.94,13128.94,13128.94
1986,1986-12-26,18936.24,18936.24,18936.24,18936.24
1987,1987-12-28,26646.43,26646.43,26646.43,26646.43
1988,1988-12-28,30159.0,30050.93,30050.93,30159.0
1989,1989-12-29,38915.87,38915.87,38915.87,38915.87
1990,1990-12-28,38712.88,38712.88,38712.88,38712.88
1991,1991-12-30,27146.91,27146.91,27146.91,27146.91
1992,1992-12-30,23801.18,23566.39,23566.39,23801.18
1993,1993-12-30,21148.11,21148.11,21148.11,21148.11
1994,1994-12-30,21552.81,21552.81,21552.81,21552.81
1995,1995-12-29,20011.76,20011.76,20011.76,20011.76
1996,1996-12-30,22666.8,22666.7,22666.7,22666.8
1997,1997-12-30,20681.07,20681.07,20681.07,20681.07
1998,1998-12-30,17264.34,17264.34,17264.34,17264.34
1999,1999-12-30,18934.34,18934.34,18934.34,18934.34
2000,2000-12-29,20747.8,20833.2,20536.3,20833.21
2001,2001-12-28,14441.4,14556.1,14296.5,14529.41
2002,2002-12-30,12013.3,12081.4,11952.7,11979.85
2003,2003-12-30,11234.3,11238.6,10996.5,11161.71
2004,2004-12-30,12140.1,12195.7,12097.0,12163.89
2005,2005-12-30,16412.75,16445.56,16246.67,16344.2
2006,2006-12-29,17498.88,17563.37,17418.94,17563.37
2007,2007-12-28,18269.36,18300.39,18213.59,18261.98
2008,2008-12-30,15155.73,15156.66,14542.58,14691.41
2009,2009-12-30,10707.51,10767.0,10597.41,10639.71
2010,2010-12-30,11380.63,11408.17,11306.62,11339.3
2011,2011-12-30,10882.91,10891.6,10820.48,10857.53
2012,2012-12-28,10406.36,10433.63,10374.85,10395.18
2013,2013-12-30,16269.22,16320.22,16182.71,16291.31
2014,2014-12-30,18004.66,18030.83,17869.74,17935.64
2015,2015-12-30,20920.6,20952.71,20838.22,20868.03
2016,2016-12-30,19547.28,19592.9,19385.94,19494.53
2017,2017-12-29,22989.44,23382.15,22877.63,22939.18
2018,2018-12-28,24376.17,24448.07,24217.26,24270.62
2019,2019-12-30,24091.12,24091.12,23996.51,24066.12
2020,2020-12-30,27559.1,27602.52,27338.56,27568.15
2021,2021-12-30,30606.15,30795.78,30504.81,30670.1
2022,2022-12-30,29288.8,29388.16,29204.45,29332.16
2023,2023-12-29,33768.69,33853.46,33622.57,33753.33
2024,2024-12-30,42343.72,42426.77,42102.46,42224.02
2025,2025-09-08,43846.55,43876.42,43411.97,43714.31
