year,date,open,high,low,close
1980,1980-12-31,140.52,141.96,139.0,140.52
1981,1981-12-31,138.12,140.32,135.86,138.12
1982,1982-12-31,143.02,144.65,143.11,143.02
1983,1983-12-30,172.65,173.1,169.65,172.65
1984,1984-12-31,170.41,170.41,168.66,170.41
1985,1985-12-31,212.02,213.02,210.78,212.02
1986,1986-12-31,254.0,254.85,253.35,254.0
1987,1987-12-31,336.77,337.89,334.46,336.77
1988,1988-12-30,283.66,283.95,282.28,283.66
1989,1989-12-29,359.8,360.44,358.11,359.8
1990,1990-12-31,368.95,369.78,367.3,368.95
1991,1991-12-31,417.09,418.32,412.73,417.09
1992,1992-12-31,441.28,442.65,439.65,441.28
1993,1993-12-31,470.94,471.29,469.87,470.94
1994,1994-12-30,482.0,482.85,479.57,482.0
1995,1995-12-29,621.69,622.88,618.27,621.69
1996,1996-12-31,757.03,762.12,755.0,757.03
1997,1997-12-31,983.79,986.25,979.57,983.79
1998,1998-12-31,1241.81,1244.93,1231.2,1241.81
1999,1999-12-31,1469.25,1473.13,1463.41,1469.25
2000,2000-12-29,1527.46,1553.11,1518.62,1527.46
2001,2001-12-31,1373.73,1383.37,1364.66,1373.73
2002,2002-12-31,1172.51,1176.97,1165.55,1172.51
2003,2003-12-31,1111.92,1112.56,1106.41,1111.92
2004,2004-12-31,1213.55,1217.33,1213.41,1213.55
2005,2005-12-30,1272.74,1275.8,1267.74,1272.74
2006,2006-12-29,1427.09,1431.81,1425.48,1427.09
2007,2007-12-31,1565.15,1576.09,1555.46,1565.15
2008,2008-12-31,1447.16,1471.77,1443.73,1447.16
2009,2009-12-31,1128.55,1130.38,1126.08,1127.78
2010,2010-12-31,1259.44,1262.6,1258.78,1259.78
2011,2011-12-30,1365.21,1370.58,1358.69,1363.61
2012,2012-12-31,1465.42,1474.51,1460.07,1465.77
2013,2013-12-31,1842.97,1849.44,1842.41,1848.36
2014,2014-12-31,2088.49,2093.55,2085.75,2090.57
2015,2015-12-31,2130.36,2134.72,2126.06,2130.82
2016,2016-12-30,2270.54,2277.53,2266.15,2271.72
2017,2017-12-29,2692.71,2694.97,2685.92,2690.16
2018,2018-12-31,2936.76,2940.91,2927.11,2930.75
2019,2019-12-31,3247.23,3247.93,3234.37,3240.02
2020,2020-12-31,3750.01,3760.2,3730.21,3756.07
2021,2021-12-31,4795.49,4808.93,4780.04,4793.06
2022,2022-12-30,4804.51,4818.62,4774.27,4796.56
2023,2023-12-29,4786.44,4793.3,4780.98,4783.35
2024,2024-12-31,6089.03,6099.97,6079.98,6090.27
2025,2025-09-05,6529.08,6532.65,6466.96,6502.08
